CategoryId,Name,AvailableCount,TotalCount
257084,Espadryle,421,421
CategoryId,Name,AvailableCount,TotalCount
257084,Espadryle,421,421
CategoryId,Name,AvailableCount,TotalCount
257084,Espadryle,421,421
CategoryId,Name,AvailableCount,TotalCount
CategoryId,Name,AvailableCount,TotalCount
CategoryId,Name,AvailableCount,TotalCount
CategoryId,Name,AvailableCount,TotalCount
CategoryId,Name,AvailableCount,TotalCount
CategoryId,Name,AvailableCount,TotalCount
257084,Espadryle,422,422
CategoryId,Name,Path,AvailableCount,TotalCount
257084,Espadryle,420,420
CategoryId,Name,Path,AvailableCount,TotalCount
257084,Espadryle,,418,418
CategoryId,Name,Path,AvailableCount,TotalCount
257084,Espadryle,,418,418
